"seafood_group","Fibre","Non-haem iron","Betacaroten","Carbohydrates","Vitamin C","Sodium","Kcal","Thiamin","Grams","Total fats","Zinc","Calcium","Total iron","Potassium","Magnesium","Rivoflavin","Vitamin E","Protein","Vitamin A (RAE)","Niacin","Haem iron","Retinol","Vitamin B12"
"Reef fish",0,0,0,0.116888950960526,3.57661460670548,3.01967250393721,4.41407133288619,8.8101955085257,8.15278266127835,9.73600197988939,7.8429331363905,6.22311158498906,10.8679926956526,13.9910377883289,12.9926096602022,10.7126966831313,14.2760147281194,19.8272911696696,24.1509966448162,20.1559785712504,29.1226894567689,35.7634452366372,30.444036414748
"Pelagic & other fish",0,0,0,0.0436739463775233,0,2.09096214182442,3.82056437505466,7.31991861374189,6.22633720792507,10.1000162333844,6.18457978610481,4.57171333847699,9.72462648917038,11.2314784067867,9.05801870976731,9.39208585909399,8.0901428485764,15.2646035572327,20.0128975656725,17.1801964938868,24.535124843676,28.0073907679881,18.8762341483557
"Tinned fish",0.353796053913867,0,5.83934382276672,0.025433837139172,0,1.58643684140331,0.807050938849321,0.0271158899901286,1.09236696591164,3.05863829429244,1.82000591644846,8.04942247823388,2.4954711394257,1.42112233747206,1.36382706438482,4.04233236023796,4.34384712633764,2.72420364604635,1.60745559425093,6.83264767359258,7.41160463817406,2.20664947559259,14.3757840395551
"Invertebrates",0,0,1.09052964942956,0.13805382832577,1.98274482286282,2.93148287906561,1.12292506227066,1.80490005492987,2.4721733093514,1.33983421987356,5.87321813842628,4.67988480409557,3.61084069731619,3.1325382265371,4.33971070862386,4.96982763366206,6.08175860109538,4.97521071723936,5.76680678703076,4.75244529332053,8.50657846681746,8.33537430888942,10.8548592106277
"Dried & salted fish",0,0,0,0.0124197641620088,0,4.16824697963923,0.855649750375536,1.00392387827975,1.04555681333889,0.466067990539233,1.75358077328984,4.25008427226975,2.43664645519501,0.26968796565465,2.3466075924076,3.58354374512124,4.08627460410097,4.27028141481158,0,3.1470364132838,5.60466249303873,0,9.14789953664374
"Sharks & rays",0,0,0,0.00106139467697875,0,0.113656851600391,0.0781994998725353,0.149645977766759,0.169854519675459,0.0587448901861004,0.140065375438616,0.08755835577932,0.364542571283769,0.245500925297389,0.189470070380279,0.0994153448936616,0.170258194237772,0.447044416100951,0.248359790391688,0.284733974754083,0.832963278129511,0.37712866223041,0.34593906286692
"Seaweed",0.00133398395585523,0,0.00806082831518607,0,0,0.00205811757944726,2.63259237637616e-05,0,0.000777204857846451,6.05104483689609e-05,0,0.00134562688980184,0.00803283444918043,0.000632393636992524,0.0017843305102003,0,0.000513793078039425,8.23347909970726e-05,0.00451379583856252,0,0.0205881495124844,0,0
